success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
,,,,,html-keyboard-response,152,458571,0.0-2.0-0.50,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,153,460578,0.0-2.0-1.50,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_038_color.jpg"" alt=""Face""></div>",null,,exp1,38,color,
,,,,,survey-text,154,463596,0.0-2.0-2.50,8,B,2/25/2026,3016,,"{""age"":""26""}",,exp1,38,color,26
,,,,,html-keyboard-response,155,464098,0.0-2.0-0.51,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,156,466109,0.0-2.0-1.51,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_039_grey.jpg"" alt=""Face""></div>",null,,exp1,39,grey,
,,,,,survey-text,157,470898,0.0-2.0-2.51,8,B,2/25/2026,4787,,"{""age"":""34""}",,exp1,39,grey,34
,,,,,html-keyboard-response,158,471403,0.0-2.0-0.52,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,159,473405,0.0-2.0-1.52,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_050_color.jpg"" alt=""Face""></div>",null,,exp1,50,color,
,,,,,survey-text,160,479799,0.0-2.0-2.52,8,B,2/25/2026,6392,,"{""age"":""34""}",,exp1,50,color,34
,,,,,html-keyboard-response,161,480305,0.0-2.0-0.53,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,162,482312,0.0-2.0-1.53,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_011_grey.jpg"" alt=""Face""></div>",null,,exp1,11,grey,
,,,,,survey-text,163,484530,0.0-2.0-2.53,8,B,2/25/2026,2217,,"{""age"":""19""}",,exp1,11,grey,19
,,,,,html-keyboard-response,164,485034,0.0-2.0-0.54,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,165,487040,0.0-2.0-1.54,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_083_grey.jpg"" alt=""Face""></div>",null,,exp1,83,grey,
,,,,,survey-text,166,492251,0.0-2.0-2.54,8,B,2/25/2026,5209,,"{""age"":""26""}",,exp1,83,grey,26
,,,,,html-keyboard-response,167,492755,0.0-2.0-0.55,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,168,494762,0.0-2.0-1.55,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_076_color.jpg"" alt=""Face""></div>",null,,exp1,76,color,
,,,,,survey-text,169,498799,0.0-2.0-2.55,8,B,2/25/2026,4036,,"{""age"":""30""}",,exp1,76,color,30
,,,,,html-keyboard-response,170,499303,0.0-2.0-0.56,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
