"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"","","","","","html-keyboard-response","248","623423","0.0-2.0-0.82","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","249","625440","0.0-2.0-1.82","2","B","21/02/2026","null","<img src=""img/face_049_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","049","grey",""
"","","","","","survey-text","250","629053","0.0-2.0-2.82","2","B","21/02/2026","3609","","{""age"":""39""}","","exp1","049","grey","39"
"","","","","","html-keyboard-response","251","629568","0.0-2.0-0.83","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","252","631585","0.0-2.0-1.83","2","B","21/02/2026","null","<img src=""img/face_076_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","076","color",""
"","","","","","survey-text","253","636679","0.0-2.0-2.83","2","B","21/02/2026","5091","","{""age"":""40""}","","exp1","076","color","40"
"","","","","","html-keyboard-response","254","637186","0.0-2.0-0.84","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","255","639188","0.0-2.0-1.84","2","B","21/02/2026","null","<img src=""img/face_037_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","037","grey",""
"","","","","","survey-text","256","642681","0.0-2.0-2.84","2","B","21/02/2026","3490","","{""age"":""41""}","","exp1","037","grey","41"
"","","","","","html-keyboard-response","257","643185","0.0-2.0-0.85","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","258","645199","0.0-2.0-1.85","2","B","21/02/2026","null","<img src=""img/face_086_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","086","color",""
"","","","","","survey-text","259","649498","0.0-2.0-2.85","2","B","21/02/2026","4295","","{""age"":""34""}","","exp1","086","color","34"
"","","","","","html-keyboard-response","260","649999","0.0-2.0-0.86","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","261","652013","0.0-2.0-1.86","2","B","21/02/2026","null","<img src=""img/face_004_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","004","color",""
"","","","","","survey-text","262","659393","0.0-2.0-2.86","2","B","21/02/2026","7377","","{""age"":""40""}","","exp1","004","color","40"
