"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"true","false","[]","[]","[]","preload","0","589","0.0-0.0","5","A","23/02/2026","","","","","","","",""
"","","","","","html-keyboard-response","1","3907","0.0-1.0","5","A","23/02/2026","3317","
            <h1>Welcome to the Experiment</h1>
            <p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p>
            <p>Your task is to estimate their age.</p>
            <p>Press any key to begin Part 1.</p>
        "," ","","","","",""
"","","","","","html-keyboard-response","2","4410","0.0-2.0-0.0","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","3","6412","0.0-2.0-1.0","5","A","23/02/2026","null","<img src=""img/face_014_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","014","grey",""
"","","","","","survey-text","4","39382","0.0-2.0-2.0","5","A","23/02/2026","32964","","{""age"":""43""}","","exp1","014","grey","43"
"","","","","","html-keyboard-response","5","39887","0.0-2.0-0.1","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","6","41901","0.0-2.0-1.1","5","A","23/02/2026","null","<img src=""img/face_012_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","012","grey",""
"","","","","","survey-text","7","50262","0.0-2.0-2.1","5","A","23/02/2026","8358","","{""age"":""34 ""}","","exp1","012","grey","34 "
"","","","","","html-keyboard-response","8","50768","0.0-2.0-0.2","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","9","52770","0.0-2.0-1.2","5","A","23/02/2026","null","<img src=""img/face_037_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","037","color",""
"","","","","","survey-text","10","61879","0.0-2.0-2.2","5","A","23/02/2026","9106","","{""age"":""30""}","","exp1","037","color","30"
"","","","","","html-keyboard-response","11","62392","0.0-2.0-0.3","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","12","64394","0.0-2.0-1.3","5","A","23/02/2026","null","<img src=""img/face_005_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","005","color",""
"","","","","","survey-text","13","72489","0.0-2.0-2.3","5","A","23/02/2026","8091","","{""age"":""32""}","","exp1","005","color","32"
"","","","","","html-keyboard-response","14","72990","0.0-2.0-0.4","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","15","74993","0.0-2.0-1.4","5","A","23/02/2026","null","<img src=""img/face_022_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","022","grey",""
"","","","","","survey-text","16","77955","0.0-2.0-2.4","5","A","23/02/2026","2958","","{""age"":""39""}","","exp1","022","grey","39"
"","","","","","html-keyboard-response","17","78456","0.0-2.0-0.5","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","18","80459","0.0-2.0-1.5","5","A","23/02/2026","null","<img src=""img/face_088_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","088","grey",""
"","","","","","survey-text","19","83504","0.0-2.0-2.5","5","A","23/02/2026","3043","","{""age"":""34""}","","exp1","088","grey","34"
"","","","","","html-keyboard-response","20","84005","0.0-2.0-0.6","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","21","86007","0.0-2.0-1.6","5","A","23/02/2026","null","<img src=""img/face_020_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","020","grey",""
"","","","","","survey-text","22","87374","0.0-2.0-2.6","5","A","23/02/2026","1364","","{""age"":""52""}","","exp1","020","grey","52"
"","","","","","html-keyboard-response","23","87875","0.0-2.0-0.7","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","24","89877","0.0-2.0-1.7","5","A","23/02/2026","null","<img src=""img/face_056_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","056","grey",""
"","","","","","survey-text","25","94309","0.0-2.0-2.7","5","A","23/02/2026","4429","","{""age"":""29""}","","exp1","056","grey","29"
"","","","","","html-keyboard-response","26","94811","0.0-2.0-0.8","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","27","96813","0.0-2.0-1.8","5","A","23/02/2026","null","<img src=""img/face_007_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","007","color",""
"","","","","","survey-text","28","99693","0.0-2.0-2.8","5","A","23/02/2026","2878","","{""age"":""31""}","","exp1","007","color","31"
"","","","","","html-keyboard-response","29","100195","0.0-2.0-0.9","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","30","102197","0.0-2.0-1.9","5","A","23/02/2026","null","<img src=""img/face_023_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","023","color",""
"","","","","","survey-text","31","104582","0.0-2.0-2.9","5","A","23/02/2026","2381","","{""age"":""30""}","","exp1","023","color","30"
"","","","","","html-keyboard-response","32","105083","0.0-2.0-0.10","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","33","107086","0.0-2.0-1.10","5","A","23/02/2026","null","<img src=""img/face_016_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","016","grey",""
"","","","","","survey-text","34","108637","0.0-2.0-2.10","5","A","23/02/2026","1548","","{""age"":""20""}","","exp1","016","grey","20"
"","","","","","html-keyboard-response","35","109138","0.0-2.0-0.11","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","36","111141","0.0-2.0-1.11","5","A","23/02/2026","null","<img src=""img/face_004_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","004","grey",""
"","","","","","survey-text","37","117823","0.0-2.0-2.11","5","A","23/02/2026","6680","","{""age"":""33""}","","exp1","004","grey","33"
"","","","","","html-keyboard-response","38","118326","0.0-2.0-0.12","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","39","120328","0.0-2.0-1.12","5","A","23/02/2026","null","<img src=""img/face_018_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","018","grey",""
"","","","","","survey-text","40","123312","0.0-2.0-2.12","5","A","23/02/2026","2981","","{""age"":""29""}","","exp1","018","grey","29"
"","","","","","html-keyboard-response","41","123823","0.0-2.0-0.13","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","42","125825","0.0-2.0-1.13","5","A","23/02/2026","null","<img src=""img/face_028_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","028","grey",""
"","","","","","survey-text","43","130644","0.0-2.0-2.13","5","A","23/02/2026","4815","","{""age"":""26""}","","exp1","028","grey","26"
"","","","","","html-keyboard-response","44","131146","0.0-2.0-0.14","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","45","133150","0.0-2.0-1.14","5","A","23/02/2026","null","<img src=""img/face_042_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","042","grey",""
"","","","","","survey-text","46","141054","0.0-2.0-2.14","5","A","23/02/2026","7900","","{""age"":""28""}","","exp1","042","grey","28"
"","","","","","html-keyboard-response","47","141555","0.0-2.0-0.15","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","48","143558","0.0-2.0-1.15","5","A","23/02/2026","null","<img src=""img/face_069_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","069","color",""
"","","","","","survey-text","49","247777","0.0-2.0-2.15","5","A","23/02/2026","104215","","{""age"":""29""}","","exp1","069","color","29"
"","","","","","html-keyboard-response","50","248278","0.0-2.0-0.16","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","51","250281","0.0-2.0-1.16","5","A","23/02/2026","null","<img src=""img/face_098_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","098","grey",""
"","","","","","survey-text","52","251467","0.0-2.0-2.16","5","A","23/02/2026","1183","","{""age"":""55""}","","exp1","098","grey","55"
"","","","","","html-keyboard-response","53","251969","0.0-2.0-0.17","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","54","253971","0.0-2.0-1.17","5","A","23/02/2026","null","<img src=""img/face_044_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","044","grey",""
"","","","","","survey-text","55","257466","0.0-2.0-2.17","5","A","23/02/2026","3491","","{""age"":""40""}","","exp1","044","grey","40"
"","","","","","html-keyboard-response","56","257967","0.0-2.0-0.18","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","57","259970","0.0-2.0-1.18","5","A","23/02/2026","null","<img src=""img/face_045_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","045","color",""
"","","","","","survey-text","58","267383","0.0-2.0-2.18","5","A","23/02/2026","7409","","{""age"":""39""}","","exp1","045","color","39"
"","","","","","html-keyboard-response","59","267884","0.0-2.0-0.19","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","60","269886","0.0-2.0-1.19","5","A","23/02/2026","null","<img src=""img/face_040_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","040","grey",""
"","","","","","survey-text","61","289104","0.0-2.0-2.19","5","A","23/02/2026","19214","","{""age"":""44""}","","exp1","040","grey","44"
"","","","","","html-keyboard-response","62","289606","0.0-2.0-0.20","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","63","291610","0.0-2.0-1.20","5","A","23/02/2026","null","<img src=""img/face_090_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","090","grey",""
"","","","","","survey-text","64","298565","0.0-2.0-2.20","5","A","23/02/2026","6952","","{""age"":""35""}","","exp1","090","grey","35"
"","","","","","html-keyboard-response","65","299066","0.0-2.0-0.21","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","66","301068","0.0-2.0-1.21","5","A","23/02/2026","null","<img src=""img/face_010_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","010","grey",""
"","","","","","survey-text","67","303397","0.0-2.0-2.21","5","A","23/02/2026","2326","","{""age"":""37""}","","exp1","010","grey","37"
"","","","","","html-keyboard-response","68","303898","0.0-2.0-0.22","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","69","305902","0.0-2.0-1.22","5","A","23/02/2026","null","<img src=""img/face_047_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","047","color",""
"","","","","","survey-text","70","314554","0.0-2.0-2.22","5","A","23/02/2026","8648","","{""age"":""34""}","","exp1","047","color","34"
"","","","","","html-keyboard-response","71","315055","0.0-2.0-0.23","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","72","317057","0.0-2.0-1.23","5","A","23/02/2026","null","<img src=""img/face_060_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","060","grey",""
"","","","","","survey-text","73","323138","0.0-2.0-2.23","5","A","23/02/2026","6078","","{""age"":""29""}","","exp1","060","grey","29"
"","","","","","html-keyboard-response","74","323639","0.0-2.0-0.24","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","75","325641","0.0-2.0-1.24","5","A","23/02/2026","null","<img src=""img/face_070_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","070","grey",""
"","","","","","survey-text","76","329467","0.0-2.0-2.24","5","A","23/02/2026","3823","","{""age"":""26""}","","exp1","070","grey","26"
"","","","","","html-keyboard-response","77","329968","0.0-2.0-0.25","5","A","23/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","78","331971","0.0-2.0-1.25","5","A","23/02/2026","null","<img src=""img/face_067_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","067","color",""
