"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"true","false","[]","[]","[]","preload","0","22","0.0-0.0","10","B","2/26/2026","","","","","","","",""
"","","","","","html-keyboard-response","1","2410","0.0-1.0","10","B","2/26/2026","2388","<div class=""welcome-screen-container""><div class=""welcome-screen-wrap""></div><div class=""screen-card""><h1>Welcome to the Experiment</h1><p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p><p>Your task is to estimate their age.</p><p class=""press-key"">Press any key to begin Part 1.</p></div></div>"," ","","","","",""
"","","","","","html-keyboard-response","2","2914","0.0-2.0-0.0","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","3","4930","0.0-2.0-1.0","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:0%""></div></div><div class=""progress-bar-label"">0 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_069_grey.jpg"" alt=""Face""></div>","null","","exp1","069","grey",""
"","","","","","survey-text","4","6944","0.0-2.0-2.0","10","B","2/26/2026","2012","","{""age"":""30""}","","exp1","069","grey","30"
"","","","","","html-keyboard-response","5","7448","0.0-2.0-0.1","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","6","9454","0.0-2.0-1.1","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:0.5%""></div></div><div class=""progress-bar-label"">1 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_067_grey.jpg"" alt=""Face""></div>","null","","exp1","067","grey",""
"","","","","","survey-text","7","13052","0.0-2.0-2.1","10","B","2/26/2026","3594","","{""age"":""28""}","","exp1","067","grey","28"
"","","","","","html-keyboard-response","8","13565","0.0-2.0-0.2","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","9","15581","0.0-2.0-1.2","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:1%""></div></div><div class=""progress-bar-label"">2 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_066_color.jpg"" alt=""Face""></div>","null","","exp1","066","color",""
"","","","","","survey-text","10","21854","0.0-2.0-2.2","10","B","2/26/2026","6271","","{""age"":""56""}","","exp1","066","color","56"
"","","","","","html-keyboard-response","11","22364","0.0-2.0-0.3","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","12","24380","0.0-2.0-1.3","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:1.5%""></div></div><div class=""progress-bar-label"">3 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_020_color.jpg"" alt=""Face""></div>","null","","exp1","020","color",""
"","","","","","survey-text","13","27581","0.0-2.0-2.3","10","B","2/26/2026","3200","","{""age"":""54""}","","exp1","020","color","54"
"","","","","","html-keyboard-response","14","28096","0.0-2.0-0.4","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","15","30097","0.0-2.0-1.4","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:2%""></div></div><div class=""progress-bar-label"">4 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_056_color.jpg"" alt=""Face""></div>","null","","exp1","056","color",""
"","","","","","survey-text","16","33686","0.0-2.0-2.4","10","B","2/26/2026","3586","","{""age"":""19""}","","exp1","056","color","19"
"","","","","","html-keyboard-response","17","34198","0.0-2.0-0.5","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","18","36213","0.0-2.0-1.5","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:2.5%""></div></div><div class=""progress-bar-label"">5 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_091_grey.jpg"" alt=""Face""></div>","null","","exp1","091","grey",""
"","","","","","survey-text","19","38685","0.0-2.0-2.5","10","B","2/26/2026","2470","","{""age"":""31""}","","exp1","091","grey","31"
"","","","","","html-keyboard-response","20","39196","0.0-2.0-0.6","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","21","41210","0.0-2.0-1.6","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:3%""></div></div><div class=""progress-bar-label"">6 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_068_color.jpg"" alt=""Face""></div>","null","","exp1","068","color",""
"","","","","","survey-text","22","44778","0.0-2.0-2.6","10","B","2/26/2026","3565","","{""age"":""23""}","","exp1","068","color","23"
"","","","","","html-keyboard-response","23","45279","0.0-2.0-0.7","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","24","47297","0.0-2.0-1.7","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:3.5000000000000004%""></div></div><div class=""progress-bar-label"">7 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_024_color.jpg"" alt=""Face""></div>","null","","exp1","024","color",""
"","","","","","survey-text","25","53088","0.0-2.0-2.7","10","B","2/26/2026","5789","","{""age"":""26""}","","exp1","024","color","26"
"","","","","","html-keyboard-response","26","53596","0.0-2.0-0.8","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","27","55612","0.0-2.0-1.8","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:4%""></div></div><div class=""progress-bar-label"">8 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_096_color.jpg"" alt=""Face""></div>","null","","exp1","096","color",""
"","","","","","survey-text","28","57527","0.0-2.0-2.8","10","B","2/26/2026","1913","","{""age"":""19""}","","exp1","096","color","19"
"","","","","","html-keyboard-response","29","58030","0.0-2.0-0.9","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","30","60031","0.0-2.0-1.9","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:4.5%""></div></div><div class=""progress-bar-label"">9 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_085_grey.jpg"" alt=""Face""></div>","null","","exp1","085","grey",""
"","","","","","survey-text","31","61519","0.0-2.0-2.9","10","B","2/26/2026","1486","","{""age"":""19""}","","exp1","085","grey","19"
"","","","","","html-keyboard-response","32","62030","0.0-2.0-0.10","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","33","64044","0.0-2.0-1.10","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:5%""></div></div><div class=""progress-bar-label"">10 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_082_color.jpg"" alt=""Face""></div>","null","","exp1","082","color",""
"","","","","","survey-text","34","66212","0.0-2.0-2.10","10","B","2/26/2026","2167","","{""age"":""24""}","","exp1","082","color","24"
"","","","","","html-keyboard-response","35","66714","0.0-2.0-0.11","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","36","68716","0.0-2.0-1.11","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:5.5%""></div></div><div class=""progress-bar-label"">11 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_018_color.jpg"" alt=""Face""></div>","null","","exp1","018","color",""
"","","","","","survey-text","37","71298","0.0-2.0-2.11","10","B","2/26/2026","2580","","{""age"":""27""}","","exp1","018","color","27"
"","","","","","html-keyboard-response","38","71813","0.0-2.0-0.12","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","39","73814","0.0-2.0-1.12","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:6%""></div></div><div class=""progress-bar-label"">12 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_052_color.jpg"" alt=""Face""></div>","null","","exp1","052","color",""
"","","","","","survey-text","40","77602","0.0-2.0-2.12","10","B","2/26/2026","3786","","{""age"":""25""}","","exp1","052","color","25"
"","","","","","html-keyboard-response","41","78112","0.0-2.0-0.13","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","42","80129","0.0-2.0-1.13","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:6.5%""></div></div><div class=""progress-bar-label"">13 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_073_grey.jpg"" alt=""Face""></div>","null","","exp1","073","grey",""
"","","","","","survey-text","43","82855","0.0-2.0-2.13","10","B","2/26/2026","2724","","{""age"":""36""}","","exp1","073","grey","36"
"","","","","","html-keyboard-response","44","83360","0.0-2.0-0.14","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","45","85363","0.0-2.0-1.14","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:7.000000000000001%""></div></div><div class=""progress-bar-label"">14 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_045_grey.jpg"" alt=""Face""></div>","null","","exp1","045","grey",""
"","","","","","survey-text","46","87283","0.0-2.0-2.14","10","B","2/26/2026","1917","","{""age"":""35""}","","exp1","045","grey","35"
"","","","","","html-keyboard-response","47","87795","0.0-2.0-0.15","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","48","89811","0.0-2.0-1.15","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:7.5%""></div></div><div class=""progress-bar-label"">15 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_035_grey.jpg"" alt=""Face""></div>","null","","exp1","035","grey",""
"","","","","","survey-text","49","93606","0.0-2.0-2.15","10","B","2/26/2026","3792","","{""age"":""20""}","","exp1","035","grey","20"
"","","","","","html-keyboard-response","50","94113","0.0-2.0-0.16","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","51","96130","0.0-2.0-1.16","10","B","2/26/2026","null","<div class=""trial-progress-bar""><div class=""progress-bar-track""><div class=""progress-bar-fill"" style=""width:8%""></div></div><div class=""progress-bar-label"">16 / 200</div></div><div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_014_color.jpg"" alt=""Face""></div>","null","","exp1","014","color",""
"","","","","","survey-text","52","98368","0.0-2.0-2.16","10","B","2/26/2026","2236","","{""age"":""57""}","","exp1","014","color","57"
"","","","","","html-keyboard-response","53","98878","0.0-2.0-0.17","10","B","2/26/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
