success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
TRUE,FALSE,[],[],[],preload,0,18547,0.0-0.0,11,A,2/25/2026,,,,,,,,
,,,,,html-keyboard-response,1,19970,0.0-1.0,11,A,2/25/2026,1422,"<div class=""welcome-screen-container""><div class=""welcome-screen-wrap""></div><div class=""screen-card""><h1>Welcome to the Experiment</h1><p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p><p>Your task is to estimate their age.</p><p class=""press-key"">Press any key to begin Part 1.</p></div></div>", ,,,,,
,,,,,html-keyboard-response,2,20471,0.0-2.0-0.0,11,A,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,3,22473,0.0-2.0-1.0,11,A,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_007_color.jpg"" alt=""Face""></div>",null,,exp1,7,color,
,,,,,survey-text,4,25356,0.0-2.0-2.0,11,A,2/25/2026,2879,,"{""age"":""25""}",,exp1,7,color,25
,,,,,html-keyboard-response,5,25858,0.0-2.0-0.1,11,A,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,6,27859,0.0-2.0-1.1,11,A,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_043_color.jpg"" alt=""Face""></div>",null,,exp1,43,color,
,,,,,survey-text,7,29604,0.0-2.0-2.1,11,A,2/25/2026,1742,,"{""age"":""22""}",,exp1,43,color,22
,,,,,html-keyboard-response,8,30105,0.0-2.0-0.2,11,A,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,9,32107,0.0-2.0-1.2,11,A,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_100_grey.jpg"" alt=""Face""></div>",null,,exp1,100,grey,
