"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"true","false","[]","[]","[]","preload","0","200","0.0-0.0","1","A","21/02/2026","","","","","","","",""
"","","","","","html-keyboard-response","1","67920","0.0-1.0","1","A","21/02/2026","67718","
            <h1>Welcome to the Experiment</h1>
            <p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p>
            <p>Your task is to estimate their age.</p>
            <p>Press any key to begin Part 1.</p>
        "," ","","","","",""
"","","","","","html-keyboard-response","2","68422","0.0-2.0-0.0","1","A","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","3","70424","0.0-2.0-1.0","1","A","21/02/2026","null","<img src=""img/face_051_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","051","color",""
"","","","","","survey-text","4","74702","0.0-2.0-2.0","1","A","21/02/2026","4274","","{""age"":""23""}","","exp1","051","color","23"
"","","","","","html-keyboard-response","5","75203","0.0-2.0-0.1","1","A","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","6","77205","0.0-2.0-1.1","1","A","21/02/2026","null","<img src=""img/face_089_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","089","color",""
"","","","","","survey-text","7","79222","0.0-2.0-2.1","1","A","21/02/2026","2013","","{""age"":""38""}","","exp1","089","color","38"
"","","","","","html-keyboard-response","8","79723","0.0-2.0-0.2","1","A","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","9","81724","0.0-2.0-1.2","1","A","21/02/2026","null","<img src=""img/face_040_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","040","grey",""
"","","","","","survey-text","10","82789","0.0-2.0-2.2","1","A","21/02/2026","1061","","{""age"":""31""}","","exp1","040","grey","31"
"","","","","","html-keyboard-response","11","83290","0.0-2.0-0.3","1","A","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","12","85292","0.0-2.0-1.3","1","A","21/02/2026","null","<img src=""img/face_007_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","007","color",""
"","","","","","survey-text","13","87231","0.0-2.0-2.3","1","A","21/02/2026","1935","","{""age"":""27""}","","exp1","007","color","27"
"","","","","","html-keyboard-response","14","87731","0.0-2.0-0.4","1","A","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","15","89733","0.0-2.0-1.4","1","A","21/02/2026","null","<img src=""img/face_100_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","100","grey",""
"","","","","","survey-text","16","98934","0.0-2.0-2.4","1","A","21/02/2026","9198","","{""age"":""28""}","","exp1","100","grey","28"
