success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
,,,,,html-keyboard-response,141,353328,0.0-2.0-1.46,4,B,23/02/2026,null,"<img src=""img/face_100_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,100,color,
,,,,,survey-text,142,357106,0.0-2.0-2.46,4,B,23/02/2026,3775,,"{""age"":""23""}",,exp1,100,color,23
,,,,,html-keyboard-response,550,1503774,0.0-4.0-1.82,4,B,23/02/2026,null,"<img src=""img/face_101_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,101,rg_minus,
,,,,,survey-text,551,1510569,0.0-4.0-2.82,4,B,23/02/2026,6791,,"{""age"":""41""}",,exp2,101,rg_minus,41
,,,,,html-keyboard-response,337,950017,0.0-4.0-1.11,4,B,23/02/2026,null,"<img src=""img/face_102_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,102,rg_plus,
,,,,,survey-text,338,955249,0.0-4.0-2.11,4,B,23/02/2026,5227,,"{""age"":""25""}",,exp2,102,rg_plus,25
,,,,,html-keyboard-response,580,1569837,0.0-4.0-1.92,4,B,23/02/2026,null,"<img src=""img/face_103_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,103,rg_minus,
,,,,,survey-text,581,1571004,0.0-4.0-2.92,4,B,23/02/2026,1160,,"{""age"":""44""}",,exp2,103,rg_minus,44
,,,,,html-keyboard-response,577,1565867,0.0-4.0-1.91,4,B,23/02/2026,null,"<img src=""img/face_104_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,104,rg_plus,
,,,,,survey-text,578,1567311,0.0-4.0-2.91,4,B,23/02/2026,1438,,"{""age"":""50""}",,exp2,104,rg_plus,50
,,,,,html-keyboard-response,565,1543502,0.0-4.0-1.87,4,B,23/02/2026,null,"<img src=""img/face_105_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,105,rg_minus,
,,,,,survey-text,566,1546490,0.0-4.0-2.87,4,B,23/02/2026,2978,,"{""age"":""23""}",,exp2,105,rg_minus,23
,,,,,html-keyboard-response,556,1520422,0.0-4.0-1.84,4,B,23/02/2026,null,"<img src=""img/face_106_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,106,rg_plus,
,,,,,survey-text,557,1529324,0.0-4.0-2.84,4,B,23/02/2026,8899,,"{""age"":""27""}",,exp2,106,rg_plus,27
,,,,,html-keyboard-response,421,1171858,0.0-4.0-1.39,4,B,23/02/2026,null,"<img src=""img/face_107_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,107,rg_minus,
,,,,,survey-text,422,1176205,0.0-4.0-2.39,4,B,23/02/2026,4344,,"{""age"":""27""}",,exp2,107,rg_minus,27
,,,,,html-keyboard-response,403,1123179,0.0-4.0-1.33,4,B,23/02/2026,null,"<img src=""img/face_108_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,108,rg_plus,
,,,,,survey-text,404,1128393,0.0-4.0-2.33,4,B,23/02/2026,5211,,"{""age"":""26""}",,exp2,108,rg_plus,26
,,,,,html-keyboard-response,367,1027844,0.0-4.0-1.21,4,B,23/02/2026,null,"<img src=""img/face_109_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,109,rg_minus,
,,,,,survey-text,368,1034321,0.0-4.0-2.21,4,B,23/02/2026,6469,,"{""age"":""30""}",,exp2,109,rg_minus,30
,,,,,html-keyboard-response,493,1377435,0.0-4.0-1.63,4,B,23/02/2026,null,"<img src=""img/face_110_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,110,rg_plus,
,,,,,survey-text,494,1380037,0.0-4.0-2.63,4,B,23/02/2026,2597,,"{""age"":""45""}",,exp2,110,rg_plus,45
,,,,,html-keyboard-response,412,1150391,0.0-4.0-1.36,4,B,23/02/2026,null,"<img src=""img/face_111_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,111,rg_minus,
,,,,,survey-text,413,1153801,0.0-4.0-2.36,4,B,23/02/2026,3406,,"{""age"":""33""}",,exp2,111,rg_minus,33
,,,,,html-keyboard-response,394,1100010,0.0-4.0-1.30,4,B,23/02/2026,null,"<img src=""img/face_112_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,112,rg_plus,
