success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
,,,,,survey-text,271,480765,0.0-2.0-2.89,6,B,23/02/2026,1509,,"{""age"":""30""}",,exp1,76,color,30
,,,,,html-keyboard-response,272,481281,0.0-2.0-0.90,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,273,483294,0.0-2.0-1.90,6,B,23/02/2026,null,"<img src=""img/face_096_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,96,color,
,,,,,survey-text,274,487775,0.0-2.0-2.90,6,B,23/02/2026,4476,,"{""age"":""29""}",,exp1,96,color,29
,,,,,html-keyboard-response,275,488288,0.0-2.0-0.91,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,276,490297,0.0-2.0-1.91,6,B,23/02/2026,null,"<img src=""img/face_031_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,31,grey,
,,,,,survey-text,277,491310,0.0-2.0-2.91,6,B,23/02/2026,1006,,"{""age"":""55""}",,exp1,31,grey,55
,,,,,html-keyboard-response,278,491824,0.0-2.0-0.92,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,279,493839,0.0-2.0-1.92,6,B,23/02/2026,null,"<img src=""img/face_079_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,79,grey,
,,,,,survey-text,280,494743,0.0-2.0-2.92,6,B,23/02/2026,900,,"{""age"":""30""}",,exp1,79,grey,30
,,,,,html-keyboard-response,281,495255,0.0-2.0-0.93,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,282,497264,0.0-2.0-1.93,6,B,23/02/2026,null,"<img src=""img/face_021_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,21,grey,
,,,,,survey-text,283,498330,0.0-2.0-2.93,6,B,23/02/2026,1060,,"{""age"":""40""}",,exp1,21,grey,40
,,,,,html-keyboard-response,284,498842,0.0-2.0-0.94,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,285,500857,0.0-2.0-1.94,6,B,23/02/2026,null,"<img src=""img/face_053_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,53,grey,
,,,,,survey-text,286,501780,0.0-2.0-2.94,6,B,23/02/2026,920,,"{""age"":""40\\""}",,exp1,53,grey,40
,,,,,html-keyboard-response,287,502287,0.0-2.0-0.95,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,288,504296,0.0-2.0-1.95,6,B,23/02/2026,null,"<img src=""img/face_008_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,8,color,
,,,,,survey-text,289,505799,0.0-2.0-2.95,6,B,23/02/2026,1499,,"{""age"":""35""}",,exp1,8,color,35
,,,,,html-keyboard-response,290,506315,0.0-2.0-0.96,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,291,508324,0.0-2.0-1.96,6,B,23/02/2026,null,"<img src=""img/face_035_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,35,grey,
,,,,,survey-text,292,509877,0.0-2.0-2.96,6,B,23/02/2026,1548,,"{""age"":""25""}",,exp1,35,grey,25
,,,,,html-keyboard-response,293,510390,0.0-2.0-0.97,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,294,512402,0.0-2.0-1.97,6,B,23/02/2026,null,"<img src=""img/face_092_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,92,color,
,,,,,survey-text,295,513622,0.0-2.0-2.97,6,B,23/02/2026,1218,,"{""age"":""35""}",,exp1,92,color,35
,,,,,html-keyboard-response,296,514127,0.0-2.0-0.98,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,297,516135,0.0-2.0-1.98,6,B,23/02/2026,null,"<img src=""img/face_087_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,87,grey,
,,,,,survey-text,298,517146,0.0-2.0-2.98,6,B,23/02/2026,1007,,"{""age"":""30""}",,exp1,87,grey,30
,,,,,html-keyboard-response,299,517654,0.0-2.0-0.99,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,300,519662,0.0-2.0-1.99,6,B,23/02/2026,null,"<img src=""img/face_041_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,41,grey,
,,,,,survey-text,301,520442,0.0-2.0-2.99,6,B,23/02/2026,777,,"{""age"":""20""}",,exp1,41,grey,20
,,,,,html-keyboard-response,302,547579,0.0-3.0,6,B,23/02/2026,27136,"
            <h2>Break</h2>
            <p>You have finished Part 1.</p>
            <p>Take a short rest.</p>
            <p>Press any key to start Part 2.</p>
        ",enter,,,,,
,,,,,html-keyboard-response,303,548085,0.0-4.0-0.0,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,304,550097,0.0-4.0-1.0,6,B,23/02/2026,null,"<img src=""img/face_183_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,183,rg_minus,
,,,,,survey-text,305,552002,0.0-4.0-2.0,6,B,23/02/2026,1900,,"{""age"":""35""}",,exp2,183,rg_minus,35
,,,,,html-keyboard-response,306,552518,0.0-4.0-0.1,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,307,554530,0.0-4.0-1.1,6,B,23/02/2026,null,"<img src=""img/face_168_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,168,rg_plus,
,,,,,survey-text,308,556176,0.0-4.0-2.1,6,B,23/02/2026,1641,,"{""age"":""40""}",,exp2,168,rg_plus,40
,,,,,html-keyboard-response,309,556686,0.0-4.0-0.2,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,310,558698,0.0-4.0-1.2,6,B,23/02/2026,null,"<img src=""img/face_113_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,113,rg_minus,
,,,,,survey-text,311,560493,0.0-4.0-2.2,6,B,23/02/2026,1791,,"{""age"":""40""}",,exp2,113,rg_minus,40
,,,,,html-keyboard-response,312,560997,0.0-4.0-0.3,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,313,563009,0.0-4.0-1.3,6,B,23/02/2026,null,"<img src=""img/face_129_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,129,rg_minus,
,,,,,survey-text,314,564167,0.0-4.0-2.3,6,B,23/02/2026,1155,,"{""age"":""40""}",,exp2,129,rg_minus,40
,,,,,html-keyboard-response,315,564678,0.0-4.0-0.4,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,316,566685,0.0-4.0-1.4,6,B,23/02/2026,null,"<img src=""img/face_190_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,190,rg_plus,
,,,,,survey-text,317,567723,0.0-4.0-2.4,6,B,23/02/2026,1032,,"{""age"":""30""}",,exp2,190,rg_plus,30
,,,,,html-keyboard-response,318,568231,0.0-4.0-0.5,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,319,570245,0.0-4.0-1.5,6,B,23/02/2026,null,"<img src=""img/face_109_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,109,rg_minus,
,,,,,survey-text,320,570909,0.0-4.0-2.5,6,B,23/02/2026,660,,"{""age"":""30""}",,exp2,109,rg_minus,30
,,,,,html-keyboard-response,321,571421,0.0-4.0-0.6,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,322,573432,0.0-4.0-1.6,6,B,23/02/2026,null,"<img src=""img/face_189_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,189,rg_minus,
