"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"","","","","","html-keyboard-response","489","961575","0.0-4.0-0.62","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","490","963577","0.0-4.0-1.62","9","A","2/25/2026","null","<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_136_rg_minus.jpg"" alt=""Face""></div>","null","","exp2","136","rg_minus",""
"","","","","","survey-text","491","967923","0.0-4.0-2.62","9","A","2/25/2026","4344","","{""age"":""27""}","","exp2","136","rg_minus","27"
"","","","","","html-keyboard-response","492","968425","0.0-4.0-0.63","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","493","970441","0.0-4.0-1.63","9","A","2/25/2026","null","<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_121_rg_plus.jpg"" alt=""Face""></div>","null","","exp2","121","rg_plus",""
"","","","","","survey-text","494","972889","0.0-4.0-2.63","9","A","2/25/2026","2446","","{""age"":""55""}","","exp2","121","rg_plus","55"
"","","","","","html-keyboard-response","495","973390","0.0-4.0-0.64","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","496","975405","0.0-4.0-1.64","9","A","2/25/2026","null","<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_118_rg_minus.jpg"" alt=""Face""></div>","null","","exp2","118","rg_minus",""
"","","","","","survey-text","497","978725","0.0-4.0-2.64","9","A","2/25/2026","3318","","{""age"":""187""}","","exp2","118","rg_minus","187"
"","","","","","html-keyboard-response","498","979238","0.0-4.0-0.65","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","499","981253","0.0-4.0-1.65","9","A","2/25/2026","null","<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_130_rg_minus.jpg"" alt=""Face""></div>","null","","exp2","130","rg_minus",""
"","","","","","survey-text","500","987281","0.0-4.0-2.65","9","A","2/25/2026","6025","","{""age"":""33""}","","exp2","130","rg_minus","33"
"","","","","","html-keyboard-response","501","987785","0.0-4.0-0.66","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","502","989786","0.0-4.0-1.66","9","A","2/25/2026","null","<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_191_rg_plus.jpg"" alt=""Face""></div>","null","","exp2","191","rg_plus",""
"","","","","","survey-text","503","991192","0.0-4.0-2.66","9","A","2/25/2026","1402","","{""age"":""55""}","","exp2","191","rg_plus","55"
"","","","","","html-keyboard-response","504","991701","0.0-4.0-0.67","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
