success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
TRUE,FALSE,[],[],[],preload,0,969,0.0-0.0,7,A,23/02/2026,,,,,,,,
,,,,,html-keyboard-response,1,2119,0.0-1.0,7,A,23/02/2026,1149,"
            <h1>Welcome to the Experiment</h1>
            <p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p>
            <p>Your task is to estimate their age.</p>
            <p>Press any key to begin Part 1.</p>
        ", ,,,,,
,,,,,html-keyboard-response,2,2633,0.0-2.0-0.0,7,A,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,3,4649,0.0-2.0-1.0,7,A,23/02/2026,null,"<img src=""img/face_060_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,60,grey,
,,,,,survey-text,4,7166,0.0-2.0-2.0,7,A,23/02/2026,2510,,"{""age"":""27""}",,exp1,60,grey,27
,,,,,html-keyboard-response,5,7672,0.0-2.0-0.1,7,A,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,6,9689,0.0-2.0-1.1,7,A,23/02/2026,null,"<img src=""img/face_007_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,7,color,
,,,,,survey-text,7,11456,0.0-2.0-2.1,7,A,23/02/2026,1760,,"{""age"":""25""}",,exp1,7,color,25
,,,,,html-keyboard-response,8,11967,0.0-2.0-0.2,7,A,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,9,13984,0.0-2.0-1.2,7,A,23/02/2026,null,"<img src=""img/face_047_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,47,color,
,,,,,survey-text,10,14924,0.0-2.0-2.2,7,A,23/02/2026,936,,"{""age"":""24""}",,exp1,47,color,24
,,,,,html-keyboard-response,11,15432,0.0-2.0-0.3,7,A,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,12,17442,0.0-2.0-1.3,7,A,23/02/2026,null,"<img src=""img/face_065_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,65,color,
,,,,,survey-text,13,18567,0.0-2.0-2.3,7,A,23/02/2026,1119,,"{""age"":""26""}",,exp1,65,color,26
,,,,,html-keyboard-response,14,19080,0.0-2.0-0.4,7,A,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,15,21097,0.0-2.0-1.4,7,A,23/02/2026,null,"<img src=""img/face_040_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,40,grey,
,,,,,survey-text,16,22839,0.0-2.0-2.4,7,A,23/02/2026,1737,,"{""age"":""28""}",,exp1,40,grey,28
,,,,,html-keyboard-response,17,23345,0.0-2.0-0.5,7,A,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,18,25351,0.0-2.0-1.5,7,A,23/02/2026,null,"<img src=""img/face_068_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,68,grey,
,,,,,survey-text,19,26636,0.0-2.0-2.5,7,A,23/02/2026,1280,,"{""age"":""22""}",,exp1,68,grey,22
,,,,,html-keyboard-response,20,27139,0.0-2.0-0.6,7,A,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
